"V1"	"V2"	"V3"
"nbr.val"	686	686	686
"nbr.null"	0	48	48
"nbr.na"	0	0	0
"min"	0.2	0	0
"max"	80	8076	45
"range"	79.8	8076	45
"sum"	13757.78	36458.85	3152
"median"	20	5	3
"mean"	20.06	53.15	4.59
"SE.mean"	0.52	14.67	0.17
"CI.mean.0.95"	1.02	28.8	0.34
"var"	186.58	147546.4	20.18
"std.dev"	13.66	384.12	4.49
"coef.var"	0.68	7.23	0.98
"skewness"	1.14	16.17	2.5
"skew.2SE"	6.13	86.65	13.38
"kurtosis"	2.36	302	12.19
"kurt.2SE"	6.33	810.23	32.7
"normtest.W"	0.9	0.1	0.8
"normtest.p"	0	0	0
